"Sp","Ploidy","Pop","ID","All","SpPloidy","Name","Lat","Long","PopPloidy","PC1","PC2","PC3","PC4","PC5"
"CD",2,"IP",10,"CD2_IP_10","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-17.8454445321015,-25.9868201283137,-28.148622737646,25.0229267559466,-59.0831474627864
"CD",2,"IP",11,"CD2_IP_11","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.8926543703125,-26.5761622422587,-28.7993877524315,30.3369362882029,-71.9562281718964
"CD",2,"IP",12,"CD2_IP_12","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-23.6701698843838,-29.2135316100659,-25.1816382664686,24.7532571921185,-53.2814793626671
"CD",2,"IP",1,"CD2_IP_1","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.1553410588933,-27.6849412145181,-30.1264129203894,28.8732358382266,-67.6524633108728
"CD",2,"IP",2,"CD2_IP_2","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2489519906623,-22.8937720790789,-31.8065384277488,30.1645788316478,-78.3485189969205
"CD",2,"IP",3,"CD2_IP_3","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.2496900843263,-28.7213482753402,-28.3542576702751,26.063911497787,-64.9190368477564
"CD",2,"IP",4,"CD2_IP_4","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.3630768783262,-26.8043426824042,-29.4030251642998,31.7391869390287,-77.1023310995267
"CD",2,"IP",5,"CD2_IP_5","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.3735640612539,-28.2674502145404,-29.6161881836132,30.1559370167423,-72.5375038408969
"CD",2,"IP",6,"CD2_IP_6","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2874633853423,-28.2204682480416,-27.3431702318475,31.7764339067078,-74.0539823819528
"CD",2,"IP",7,"CD2_IP_7","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-21.2574141910342,-28.0488786785644,-30.8518345616329,31.1195857987153,-73.4580725780543
"CD",2,"IP",8,"CD2_IP_8","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-20.2946230959317,-30.002573884149,-29.7219277511968,31.8790985162208,-74.9727828329869
"CD",2,"IP",9,"CD2_IP_9","CD2","Ingham Pass",41.67255,-113.74295,"IP2",-22.473485548147,-27.1845014152835,-29.2794039312125,29.7577800080511,-69.4907293629292
"CD",2,"LA",10,"CD2_LA_10","CD2","Lake Valley",38.29264,-114.51919,"LA2",-20.9067679226784,12.618837001699,23.9831518763444,5.33053666847382,10.1169820784465
"CD",2,"LA",11,"CD2_LA_11","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.6132682263015,44.101988002271,33.9173293690232,6.19883447216254,-1.87577047416548
"CD",2,"LA",1,"CD2_LA_1","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.8699116921569,45.2538872899325,32.5644777065471,6.06602178928539,-1.48424908534876
"CD",2,"LA",2,"CD2_LA_2","CD2","Lake Valley",38.29264,-114.51919,"LA2",-65.8238688670601,43.3342593777462,29.2681600833016,6.2974984821135,-2.67356542351196
"CD",2,"LA",3,"CD2_LA_3","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.1551068612153,40.2771490216379,33.4893933909427,4.99732953552419,-1.3394598287436
"CD",2,"LA",6,"CD2_LA_6","CD2","Lake Valley",38.29264,-114.51919,"LA2",-68.8024179620115,45.3298925190299,32.3723563910118,6.75891589519038,-0.655892277499553
"CD",2,"LA",7,"CD2_LA_7","CD2","Lake Valley",38.29264,-114.51919,"LA2",-69.0686974474522,44.0264228411319,33.568440392771,4.70799332766486,-0.891440398554207
"CD",2,"LA",8,"CD2_LA_8","CD2","Lake Valley",38.29264,-114.51919,"LA2",-67.9323371318629,46.1383729385931,31.1001324085373,7.86392569736941,-0.373162227650787
"CD",2,"LS",10,"CD2_LS_10","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",57.4562979763169,-10.3398859223726,11.3663516638117,9.03954246876142,3.23869360785423
"CD",2,"LS",11,"CD2_LS_11","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1469102235598,-6.76563728828479,24.0417003461455,2.33841109139484,25.8995203220475
"CD",2,"LS",12,"CD2_LS_12","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",94.9308483776529,-7.4490663254806,24.4158611661079,2.21346254749898,24.0489170213269
"CD",2,"LS",1,"CD2_LS_1","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",98.9486589054407,-6.27049093119625,25.2882051721879,1.92777840889299,27.480680379274
"CD",2,"LS",2,"CD2_LS_2","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",97.8327116323821,-6.74855209066414,24.7660207799342,2.03925544475998,22.1145449357696
"CD",2,"LS",3,"CD2_LS_3","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",98.753786437595,-7.5638433282345,25.3495079276864,3.09251188168272,26.7889415622069
"CD",2,"LS",4,"CD2_LS_4","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.4698559401996,-6.44136019211096,22.6999749150913,2.62234648839379,20.8249019003387
"CD",2,"LS",5,"CD2_LS_5","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",101.905669655295,-7.44245380231708,27.4260891621984,2.20675116833003,31.1046345159201
"CD",2,"LS",6,"CD2_LS_6","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",96.1867214457026,-6.63171723259999,24.1728239602363,2.2701210803111,22.5754603900803
"CD",2,"LS",7,"CD2_LS_7","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",78.7548337400196,-7.71970007630195,13.4463159243807,1.16029384841717,23.6968236921055
"CD",2,"LS",8,"CD2_LS_8","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",101.124864453213,-6.79413079298142,26.2000807068558,2.04677289504133,27.8591486339225
"CD",2,"LS",9,"CD2_LS_9","CD2","Lowman Summer Home Road",44.08559,-115.62701,"LS2",97.7656767211252,-6.76572879583795,23.236186923583,2.12105669538399,23.8265118129331
"CD",2,"MM",10,"CD2_MM_10","CD2","Mono Mills",37.9075,-118.95347,"MM2",-77.1480959879484,75.2588767382036,57.898106631449,36.9145484911119,5.61926258597929
"CD",2,"MM",11,"CD2_MM_11","CD2","Mono Mills",37.9075,-118.95347,"MM2",-76.2228017490751,72.3362713030057,57.5175886167698,37.4454403049465,5.62998325272848
